,date,country,continent,daily_new_cases,daily_vaccinations
0,2021-10-01,Afghanistan,Asia,48.0,16376.0
1,2021-10-02,Afghanistan,Asia,24.0,19752.0
2,2021-10-03,Afghanistan,Asia,23.0,23129.0
3,2021-10-04,Afghanistan,Asia,23.0,26505.0
4,2021-10-05,Afghanistan,Asia,31.0,29882.0
5,2021-10-06,Afghanistan,Asia,40.0,33258.0
6,2021-10-07,Afghanistan,Asia,49.0,36635.0
7,2021-10-08,Afghanistan,Asia,19.0,36635.0
8,2021-10-09,Afghanistan,Asia,18.0,36635.0
9,2021-10-10,Afghanistan,Asia,42.0,36635.0
10,2021-10-11,Afghanistan,Asia,32.0,36635.0
11,2021-10-12,Afghanistan,Asia,59.0,36635.0
12,2021-10-13,Afghanistan,Asia,28.0,36635.0
13,2021-10-14,Afghanistan,Asia,55.0,36635.0
14,2021-10-15,Afghanistan,Asia,6.0,36635.0
15,2021-10-16,Afghanistan,Asia,51.0,36635.0
16,2021-10-17,Afghanistan,Asia,25.0,36635.0
17,2021-10-18,Afghanistan,Asia,12.0,36635.0
18,2021-10-19,Afghanistan,Asia,25.0,36635.0
19,2021-10-20,Afghanistan,Asia,58.0,36635.0
20,2021-10-21,Afghanistan,Asia,32.0,36635.0
21,2021-10-22,Afghanistan,Asia,40.0,36635.0
22,2021-10-23,Afghanistan,Asia,9.0,36635.0
23,2021-10-24,Afghanistan,Asia,4.0,36635.0
24,2021-10-25,Afghanistan,Asia,96.0,36635.0
25,2021-10-26,Afghanistan,Asia,31.0,36635.0
26,2021-10-27,Afghanistan,Asia,53.0,36635.0
27,2021-10-28,Afghanistan,Asia,42.0,36635.0
28,2021-10-29,Afghanistan,Asia,30.0,36635.0
29,2021-10-30,Afghanistan,Asia,14.0,36635.0
30,2021-10-31,Afghanistan,Asia,40.0,36635.0
31,2021-11-01,Afghanistan,Asia,34.0,36635.0
32,2021-11-02,Afghanistan,Asia,23.0,36635.0
33,2021-11-03,Afghanistan,Asia,16.0,36635.0
34,2021-11-04,Afghanistan,Asia,40.0,36635.0
35,2021-11-05,Afghanistan,Asia,2.0,36635.0
36,2021-11-06,Afghanistan,Asia,32.0,36635.0
37,2021-11-07,Afghanistan,Asia,-32.0,36635.0
38,2021-11-08,Afghanistan,Asia,0.0,36635.0
39,2021-11-09,Afghanistan,Asia,0.0,36635.0
40,2021-11-10,Afghanistan,Asia,49.0,36635.0
41,2021-11-11,Afghanistan,Asia,44.0,36635.0
42,2021-11-12,Afghanistan,Asia,29.0,36635.0
43,2021-11-13,Afghanistan,Asia,23.0,36635.0
44,2021-11-14,Afghanistan,Asia,42.0,36635.0
45,2021-11-15,Afghanistan,Asia,58.0,33582.0
46,2021-11-16,Afghanistan,Asia,66.0,30529.0
47,2021-11-17,Afghanistan,Asia,63.0,27476.0
48,2021-11-18,Afghanistan,Asia,56.0,24423.0
49,2021-11-19,Afghanistan,Asia,50.0,21369.0
50,2021-11-20,Afghanistan,Asia,19.0,18316.0
51,2021-11-21,Afghanistan,Asia,32.0,15263.0
52,2021-11-22,Afghanistan,Asia,68.0,15263.0
53,2021-11-23,Afghanistan,Asia,51.0,15263.0
54,2021-11-24,Afghanistan,Asia,44.0,15263.0
55,2021-11-25,Afghanistan,Asia,87.0,15263.0
56,2021-11-26,Afghanistan,Asia,25.0,15263.0
57,2021-11-27,Afghanistan,Asia,19.0,15263.0
58,2021-11-28,Afghanistan,Asia,38.0,15263.0
59,2021-11-29,Afghanistan,Asia,33.0,15263.0
60,2021-11-30,Afghanistan,Asia,42.0,15263.0
61,2021-12-01,Afghanistan,Asia,68.0,15263.0
62,2021-12-02,Afghanistan,Asia,32.0,15263.0
63,2021-12-03,Afghanistan,Asia,20.0,15263.0
64,2021-12-04,Afghanistan,Asia,8.0,15263.0
65,2021-12-05,Afghanistan,Asia,24.0,15263.0
66,2021-12-06,Afghanistan,Asia,31.0,15263.0
67,2021-12-07,Afghanistan,Asia,23.0,15263.0
68,2021-12-08,Afghanistan,Asia,34.0,15263.0
69,2021-12-09,Afghanistan,Asia,44.0,15263.0
70,2021-12-10,Afghanistan,Asia,24.0,15263.0
71,2021-12-11,Afghanistan,Asia,12.0,15263.0
72,2021-12-12,Afghanistan,Asia,11.0,15263.0
73,2021-12-13,Afghanistan,Asia,14.0,15263.0
74,2021-12-14,Afghanistan,Asia,13.0,15263.0
75,2021-12-15,Afghanistan,Asia,31.0,15263.0
76,2021-12-16,Afghanistan,Asia,33.0,15263.0
77,2021-12-17,Afghanistan,Asia,19.0,15263.0
78,2021-12-18,Afghanistan,Asia,7.0,15263.0
79,2021-12-19,Afghanistan,Asia,36.0,15263.0
80,2021-12-20,Afghanistan,Asia,10.0,15263.0
81,2021-12-21,Afghanistan,Asia,23.0,15263.0
82,2021-12-22,Afghanistan,Asia,35.0,15263.0
83,2021-12-23,Afghanistan,Asia,28.0,15263.0
84,2021-12-24,Afghanistan,Asia,8.0,15263.0
85,2021-12-25,Afghanistan,Asia,11.0,15263.0
86,2021-12-26,Afghanistan,Asia,49.0,15263.0
87,2021-12-27,Afghanistan,Asia,29.0,15263.0
88,2021-12-28,Afghanistan,Asia,27.0,15598.0
89,2021-12-29,Afghanistan,Asia,32.0,15932.0
90,2021-12-30,Afghanistan,Asia,20.0,16266.0
91,2021-12-31,Afghanistan,Asia,39.0,16601.0
92,2021-10-01,Albania,Europe,647.0,7936.0
93,2021-10-02,Albania,Europe,549.0,7899.0
94,2021-10-03,Albania,Europe,467.0,7491.0
95,2021-10-04,Albania,Europe,207.0,7083.0
96,2021-10-05,Albania,Europe,617.0,6792.0
97,2021-10-06,Albania,Europe,572.0,6506.0
98,2021-10-07,Albania,Europe,533.0,6087.0
99,2021-10-08,Albania,Europe,445.0,5784.0
100,2021-10-09,Albania,Europe,475.0,5616.0
101,2021-10-10,Albania,Europe,325.0,5600.0
102,2021-10-11,Albania,Europe,195.0,5584.0
103,2021-10-12,Albania,Europe,501.0,5556.0
104,2021-10-13,Albania,Europe,508.0,5498.0
105,2021-10-14,Albania,Europe,495.0,5381.0
106,2021-10-15,Albania,Europe,441.0,5304.0
107,2021-10-16,Albania,Europe,428.0,5205.0
108,2021-10-17,Albania,Europe,435.0,5326.0
109,2021-10-18,Albania,Europe,217.0,5552.0
110,2021-10-19,Albania,Europe,616.0,5457.0
111,2021-10-20,Albania,Europe,659.0,5434.0
112,2021-10-21,Albania,Europe,566.0,5527.0
113,2021-10-22,Albania,Europe,594.0,5603.0
114,2021-10-23,Albania,Europe,629.0,5448.0
115,2021-10-24,Albania,Europe,444.0,5292.0
116,2021-10-25,Albania,Europe,264.0,5247.0
117,2021-10-26,Albania,Europe,650.0,5226.0
118,2021-10-27,Albania,Europe,672.0,5204.0
119,2021-10-28,Albania,Europe,591.0,5188.0
120,2021-10-29,Albania,Europe,467.0,5126.0
121,2021-10-30,Albania,Europe,547.0,4940.0
122,2021-10-31,Albania,Europe,413.0,4754.0
123,2021-11-01,Albania,Europe,197.0,4353.0
124,2021-11-02,Albania,Europe,725.0,4717.0
125,2021-11-03,Albania,Europe,571.0,5080.0
126,2021-11-04,Albania,Europe,570.0,5139.0
127,2021-11-05,Albania,Europe,631.0,5261.0
128,2021-11-06,Albania,Europe,563.0,5739.0
129,2021-11-07,Albania,Europe,568.0,5709.0
130,2021-11-08,Albania,Europe,230.0,6485.0
131,2021-11-09,Albania,Europe,770.0,6447.0
132,2021-11-10,Albania,Europe,690.0,6481.0
133,2021-11-11,Albania,Europe,625.0,6800.0
134,2021-11-12,Albania,Europe,573.0,6886.0
135,2021-11-13,Albania,Europe,587.0,6972.0
136,2021-11-14,Albania,Europe,475.0,7565.0
137,2021-11-15,Albania,Europe,194.0,7611.0
138,2021-11-16,Albania,Europe,587.0,7656.0
139,2021-11-17,Albania,Europe,616.0,7655.0
140,2021-11-18,Albania,Europe,549.0,7648.0
141,2021-11-19,Albania,Europe,502.0,7491.0
142,2021-11-20,Albania,Europe,465.0,7334.0
143,2021-11-21,Albania,Europe,405.0,7177.0
144,2021-11-22,Albania,Europe,218.0,7132.0
145,2021-11-23,Albania,Europe,556.0,7087.0
146,2021-11-24,Albania,Europe,609.0,7016.0
147,2021-11-25,Albania,Europe,516.0,6859.0
148,2021-11-26,Albania,Europe,440.0,6790.0
149,2021-11-27,Albania,Europe,405.0,6720.0
150,2021-11-28,Albania,Europe,418.0,6651.0
151,2021-11-29,Albania,Europe,195.0,5788.0
152,2021-11-30,Albania,Europe,195.0,4925.0
153,2021-12-01,Albania,Europe,228.0,5304.0
154,2021-12-02,Albania,Europe,466.0,5639.0
155,2021-12-03,Albania,Europe,406.0,6271.0
156,2021-12-04,Albania,Europe,357.0,6347.0
157,2021-12-05,Albania,Europe,328.0,6424.0
158,2021-12-06,Albania,Europe,172.0,7442.0
159,2021-12-07,Albania,Europe,393.0,8594.0
160,2021-12-08,Albania,Europe,346.0,7773.0
161,2021-12-09,Albania,Europe,222.0,7491.0
162,2021-12-10,Albania,Europe,352.0,7209.0
163,2021-12-11,Albania,Europe,309.0,7482.0
164,2021-12-12,Albania,Europe,263.0,7755.0
165,2021-12-13,Albania,Europe,138.0,7861.0
166,2021-12-14,Albania,Europe,376.0,7886.0
167,2021-12-15,Albania,Europe,326.0,8580.0
168,2021-12-16,Albania,Europe,301.0,8689.0
169,2021-12-17,Albania,Europe,296.0,8798.0
170,2021-12-18,Albania,Europe,325.0,8907.0
171,2021-12-19,Albania,Europe,228.0,8767.0
172,2021-12-20,Albania,Europe,120.0,8276.0
173,2021-12-21,Albania,Europe,376.0,7731.0
174,2021-12-22,Albania,Europe,343.0,7444.0
175,2021-12-23,Albania,Europe,319.0,7389.0
176,2021-12-24,Albania,Europe,286.0,7078.0
177,2021-12-25,Albania,Europe,321.0,6768.0
178,2021-12-26,Albania,Europe,167.0,6706.0
179,2021-12-27,Albania,Europe,168.0,6645.0
180,2021-12-28,Albania,Europe,475.0,6583.0
181,2021-12-29,Albania,Europe,547.0,6271.0
182,2021-12-30,Albania,Europe,617.0,5958.0
183,2021-12-31,Albania,Europe,708.0,5901.0
184,2021-10-01,Algeria,Africa,158.0,31129.0
185,2021-10-02,Algeria,Africa,140.0,35543.0
186,2021-10-03,Algeria,Africa,132.0,35543.0
187,2021-10-04,Algeria,Africa,126.0,35543.0
188,2021-10-05,Algeria,Africa,131.0,35543.0
189,2021-10-06,Algeria,Africa,125.0,35543.0
190,2021-10-07,Algeria,Africa,105.0,35543.0
191,2021-10-08,Algeria,Africa,112.0,35543.0
192,2021-10-09,Algeria,Africa,102.0,35543.0
193,2021-10-10,Algeria,Africa,107.0,35543.0
194,2021-10-11,Algeria,Africa,98.0,35543.0
195,2021-10-12,Algeria,Africa,95.0,35543.0
196,2021-10-13,Algeria,Africa,110.0,35543.0
197,2021-10-14,Algeria,Africa,105.0,35543.0
198,2021-10-15,Algeria,Africa,101.0,35543.0
199,2021-10-16,Algeria,Africa,93.0,35543.0
200,2021-10-17,Algeria,Africa,87.0,35543.0
201,2021-10-18,Algeria,Africa,78.0,35543.0
202,2021-10-19,Algeria,Africa,89.0,35543.0
203,2021-10-20,Algeria,Africa,76.0,35543.0
204,2021-10-21,Algeria,Africa,70.0,35543.0
