,country,continent,total_tests,people_fully_vaccinated,population,total_tests_per_hundred,people_fully_vaccinated_per_hundred
0,Afghanistan,Asia,951337.0,4420127.0,40560636,2.3454686460044663,10.897578134622938
1,Albania,Europe,1817530.0,1215199.0,2871945,63.28568269935532,42.31275320383921
2,Algeria,Africa,230861.0,6110712.0,45325517,0.5093400258401907,13.481836291023445
3,Andorra,Europe,249838.0,53367.0,77495,322.3924124137041,68.86508807019808
4,Angola,Africa,1499795.0,5993792.0,34769277,4.313563954752352,17.238759379437198
5,Anguilla,North America,51382.0,9624.0,15252,336.88696564385,63.099921321793865
6,Antigua And Barbuda,North America,18901.0,,99439,19.00763282012088,
7,Argentina,South America,35716069.0,36924451.0,45968174,77.69738471665201,80.32612085048234
8,Armenia,Asia,3068217.0,948778.0,2973558,103.18335811845607,31.907163068620154
9,Aruba,North America,177885.0,81347.0,107610,165.3052690270421,75.59427562494191
10,Australia,Australia/Oceania,70885598.0,21200432.0,26050899,272.1042294931933,81.38080762587118
11,Austria,Europe,185034905.0,6588761.0,9102106,2032.8801378494163,72.38721456331095
12,Azerbaijan,Asia,6838458.0,4821276.0,10309383,66.33236926011963,46.765902479323934
13,Bahamas,North America,233473.0,156089.0,400242,58.332958560071155,38.99865581323299
14,Bahrain,Asia,9775981.0,1216033.0,1811659,539.6148502560361,67.12262075810072
15,Bangladesh,Asia,14051455.0,107712737.0,167745162,8.37666781710223,64.21212732203865
16,Barbados,North America,669421.0,151069.0,288030,232.41363746831928,52.44905044613408
17,Belarus,Europe,13220483.0,5565214.0,9443535,139.99506540718068,58.93147004802757
18,Belgium,Europe,33846023.0,9126319.0,11683561,289.68927367264143,78.11247786526727
19,Belize,North America,549217.0,209156.0,411069,133.60701001535023,50.88099564793258
20,Benin,Africa,604310.0,2430934.0,12714341,4.7529793325505425,19.119622479843823
21,Bermuda,North America,893980.0,46699.0,61850,1445.4001616814874,75.50363783346806
22,Bhutan,Asia,2303690.0,579640.0,787432,292.5573255849394,73.61143565412632
23,Bolivia,South America,2705422.0,5747856.0,11969554,22.60252971831699,48.02063635787933
24,Bosnia and Herz.,Europe,1767199.0,846080.0,3242823,54.49569711328679,26.090847388216993
25,Botswana,Africa,2026898.0,1292541.0,2440037,83.0683305212175,52.97218853648531
26,Brazil,South America,63776166.0,160272858.0,215373503,29.611890558329268,74.4162377300424
27,British Virgin Islands,North America,103637.0,17646.0,30606,338.6166111220022,57.65536169378554
28,Brunei,Asia,717784.0,404935.0,445281,161.19798509255955,90.93920468198733
29,Bulgaria,Europe,9924259.0,2049909.0,6851060,144.85727755996882,29.921048713629716
30,Burkina Faso,Africa,248995.0,1188545.0,21970296,1.1333256502324776,5.409781461296652
31,Burundi,Africa,345742.0,9906.0,12549999,2.7549165541766176,0.07893227720575914
32,Cabo Verde,Africa,400982.0,,567234,70.69075549067934,
33,Cambodia,Asia,2961934.0,13989488.0,17149867,17.270886124073147,81.57199119969852
34,Cameroon,Africa,1751774.0,1048664.0,27776053,6.306778000459605,3.7754248236781516
35,Canada,North America,61436458.0,31149796.0,38358465,160.16401594797915,81.20709731215783
36,Caribbean Netherlands,North America,30126.0,,26677,112.92874011320613,
37,Cayman Islands,North America,222773.0,58385.0,67159,331.70982295745915,86.93548146934886
38,Central African Rep.,Africa,81294.0,897945.0,4986136,1.6304007752696679,18.00883489740352
39,Chad,Africa,191341.0,153238.0,17303260,1.1058089631664785,0.8856019039186835
40,Channel Islands,Europe,1252808.0,,176848,708.409481588709,
41,Chile,South America,37693651.0,17346012.0,19421812,194.07896132451495,89.312016819028
42,China Hong Kong Sar,Asia,44972952.0,5739533.0,7610260,590.9515837829456,75.41835627166483
43,China Macao Sar,Asia,5375.0,509829.0,665819,0.8072764520087291,76.57171093044806
44,China,Asia,160000000.0,1240777000.0,1439323776,11.11633134030852,86.20555157146241
45,Colombia,South America,34675581.0,34730020.0,51892950,66.8213716892179,66.92627803969518
46,Comoros,Africa,,301218.0,904091,,33.31722138590031
47,Congo,Africa,347815.0,640464.0,5770949,6.026998332509956,11.098070698597406
48,Cook Islands,Australia/Oceania,17469.0,14573.0,17594,99.28953052176878,82.829373650108
49,Costa Rica,North America,4401922.0,3971404.0,5180753,84.96683783226106,76.65688752194903
50,Côte d'Ivoire,Africa,1509861.0,4599452.0,27594347,5.471631562797989,16.668095099333208
51,Croatia,Europe,4838151.0,2237864.0,4058130,119.22119301254519,55.14520234689376
52,Cuba,North America,12920253.0,9910237.0,11313741,114.19965332421876,87.59469568907402
53,Curacao,North America,496693.0,98489.0,165343,300.4015894231991,59.566476960016445
54,Cyprus,Asia,9477138.0,645292.0,1223728,774.4480799654825,52.731652785586334
55,Czech Republic,Europe,55323981.0,6858609.0,10745981,514.834159859393,63.82487555114791
56,Dem. Rep. Congo,Africa,846704.0,519397.0,94629737,0.8947546794936142,0.548872919302312
57,Denmark,Europe,127345763.0,4801547.0,5830190,2184.247220073445,82.35661273474793
58,Djibouti,Africa,305941.0,105020.0,1014756,30.14921813716795,10.349285936717791
59,Dominica,North America,194894.0,29931.0,72319,269.49211134003514,41.387463875330134
60,Dominican Rep.,North America,3305829.0,5923507.0,11050510,29.915623803788243,53.603924162776195
61,Ecuador,South America,2470170.0,13709968.0,18141962,13.615782019607362,75.57048129634491
62,Egypt,Africa,3693367.0,31722116.0,105928386,3.4866640939851568,29.946756670114844
63,El Salvador,North America,1950448.0,4281899.0,6547158,29.79075806632435,65.40088080965818
64,Eq. Guinea,Africa,317211.0,210706.0,1488778,21.306803297738146,14.152949600276198
65,Eritrea,Africa,23693.0,,3637828,0.6512952234135313,
66,Estonia,Europe,3345340.0,842855.0,1328196,251.87095880427285,63.45863110565006
67,Ethiopia,Africa,4836364.0,20958931.0,120265111,4.0214189799400755,17.427274481956783
68,Faeroe Islands,Europe,778000.0,40895.0,49209,1581.011603568453,83.10471661687903
69,Falkland Is.,South America,8632.0,1775.0,3669,235.26846552194058,48.378304715181244
70,Fiji,Australia/Oceania,517703.0,627451.0,908543,56.981672854229245,69.0612332052528
71,Finland,Europe,10832080.0,4308827.0,5556750,194.9355288612948,77.54221442389886
72,France,Europe,271490188.0,52438706.0,65542502,414.22005525513816,80.00717763261463
73,French Guiana,South America,631628.0,,313094,201.7374973650086,
74,French Polynesia,Australia/Oceania,,180807.0,283932,,63.679683867968386
75,Gabon,Africa,1594523.0,250565.0,2323511,68.62558429893382,10.783895578716864
76,Gambia,Africa,155686.0,318161.0,2543054,6.122009206253583,12.510980891479301
77,Georgia,Asia,16920079.0,1256517.0,3974908,425.67221681608737,31.61122219684078
78,Germany,Europe,122332384.0,63142649.0,84282880,145.14499741821828,74.91752654868937
79,Ghana,Africa,2442206.0,4867214.0,32280617,7.565549320200417,15.077822087477449
80,Gibraltar,Europe,534283.0,41228.0,33672,1586.7278450938466,122.440009503445
81,Greece,Europe,81233888.0,7592528.0,10328255,786.5209369830625,73.51220511112477
82,Greenland,North America,164926.0,38502.0,56953,289.5826383158043,67.60311133741858
83,Grenada,North America,157363.0,37915.0,113494,138.6531446596296,33.40705235519058
84,Guadeloupe,North America,938039.0,,400251,234.3626874136479,
85,Guatemala,North America,4543522.0,5929957.0,18532670,24.516283946134042,31.997316090989585
86,Guinea-Bissau,Africa,136655.0,341495.0,2054599,6.6511762149207705,16.62100487735076
87,Guinea,Africa,660107.0,2480075.0,13795931,4.784794879011789,17.976858538941663
88,Guyana,South America,610906.0,360587.0,793621,76.97704571829627,45.435667654963765
89,Haiti,North America,132422.0,112335.0,11661401,1.1355582403863824,0.9633062099485301
90,Holy See,Europe,,,805,,
91,Honduras,North America,1365056.0,4777999.0,10197959,13.38558038917395,46.852502544871975
92,Hungary,Europe,11394556.0,6186672.0,9614673,118.51215324743754,64.34615092993802
93,Iceland,Europe,2264004.0,290193.0,345368,655.5338074170161,84.02428713719858
94,India,Asia,843836914.0,828229455.0,1405273033,60.04789775255013,58.937262407425706
95,Indonesia,Asia,97245391.0,158830466.0,278910317,34.86618639496222,56.946787665800116
96,Iran,Asia,51771715.0,56810058.0,85995095,60.20310228158944,66.06197481379607
97,Iraq,Asia,18529376.0,7121524.0,41902979,44.21971048884138,16.995268999848438
98,Ireland,Europe,12144747.0,4007756.0,5040509,240.94286906342197,79.51093828024113
99,Isle Of Man,Europe,150753.0,66975.0,85871,175.55752233000663,77.99489932573277
100,Israel,Asia,41373364.0,6128503.0,9326000,443.63461291014363,65.71416470083638
101,Italy,Europe,217853667.0,47817555.0,60296265,361.30540921564545,79.30433999518876
102,Jamaica,North America,1031235.0,672613.0,2985238,34.54448188050668,22.531302361821737
103,Japan,Asia,50444181.0,100633737.0,125755488,40.112906245491246,80.02333623801769
104,Jordan,Asia,16670254.0,4412071.0,10391780,160.41769552473204,42.457317225730336
105,Kazakhstan,Asia,11575012.0,9150398.0,19194987,60.30226537793435,47.670769456629486
106,Kenya,Africa,3630986.0,8090985.0,55976553,6.486619495844984,14.454239438430589
107,Kiribati,Australia/Oceania,,55333.0,122862,,45.036707851084955
108,Kuwait,Asia,8071763.0,3283891.0,4388186,183.9430461698752,74.83481784956244
109,Kyrgyzstan,Asia,1907195.0,1237551.0,6724638,28.361303612179572,18.403235980881053
110,Laos,Asia,1232128.0,4455505.0,7472169,16.48956280298264,59.6280009191441
111,Latvia,Europe,7217715.0,1302192.0,1847378,390.7004955131002,70.48866014426933
112,Lebanon,Asia,4795578.0,2201517.0,6768532,70.85107967281532,32.52576777357336
113,Lesotho,Africa,431221.0,727528.0,2173878,19.83648576415052,33.46682748525906
114,Liberia,Africa,139824.0,1015633.0,5278999,2.6486839645167577,19.2391209015194
115,Libya,Africa,2477219.0,1125758.0,7045301,35.161294031298304,15.978848880977548
116,Liechtenstein,Europe,102174.0,26395.0,38332,266.55014087446517,68.8589168318898
117,Lithuania,Europe,9954903.0,1872520.0,2651588,375.4317412810738,70.61881408423933
118,Luxembourg,Europe,4248188.0,460292.0,644943,658.692008441056,71.36940783914237
119,Macedonia,Europe,2034606.0,,2083215,97.6666354648944,
120,Madagascar,Africa,430995.0,1050879.0,29016291,1.485355244059277,3.621686176224246
121,Malawi,Africa,578807.0,861888.0,20050211,2.886787575452448,4.298648029190316
122,Malaysia,Asia,59274648.0,25801561.0,33138284,178.87060174872062,77.8602808763423
123,Maldives,Asia,2213831.0,371439.0,558272,396.55060615613894,66.53369683595093
124,Mali,Africa,675008.0,978690.0,21336613,3.163613643833724,4.5869042101480675
125,Malta,Europe,1904970.0,466296.0,443733,429.3054607162415,105.08481451683782
126,Marshall Islands,Australia/Oceania,,,59934,,
127,Martinique,North America,828928.0,,374723,221.21086776098613,
128,Mauritania,Africa,816126.0,1057009.0,4877181,16.73355981662358,21.672539936492
129,Mauritius,Africa,358675.0,963452.0,1275698,28.115980427969628,75.52351732149772
130,Mayotte,Africa,176919.0,,285070,62.06159890553198,
131,Mexico,North America,15855490.0,79711762.0,131455607,12.061478670894578,60.63778017471708
132,Micronesia,Australia/Oceania,,,117269,,
133,Moldova,Europe,3216305.0,1054472.0,4016504,80.07722636402205,26.253478149156578
134,Monaco,Europe,54960.0,25667.0,39760,138.22937625754528,64.55482897384306
135,Mongolia,Asia,4030048.0,2174463.0,3376601,119.35221247639267,64.3979848374149
136,Montenegro,Europe,2465201.0,281571.0,628214,392.4142091707603,44.820873141954806
137,Montserrat,North America,11238.0,1804.0,4998,224.84993997599042,36.094437775110045
138,Morocco,Africa,11237010.0,23346308.0,37725337,29.78637407533298,61.88495546110032
139,Mozambique,Africa,1319772.0,13130997.0,32885526,4.0132306231014825,39.929411498541945
140,Myanmar,Asia,8083326.0,21803150.0,55089133,14.673177012969147,39.57795088189172
141,Namibia,Africa,1018783.0,383923.0,2626590,38.787286938578156,14.616784500055205
142,Nauru,Australia/Oceania,,7674.0,10951,,70.07579216509909
143,Nepal,Asia,5669140.0,19014212.0,30112649,18.826440676142443,63.14360453641923
144,Netherlands,Europe,21107399.0,12366525.0,17205480,122.67835015355573,71.87550129377385
145,New Caledonia,Australia/Oceania,98964.0,179880.0,290610,34.05388665221431,61.89738825229689
146,New Zealand,Australia/Oceania,7127584.0,4051832.0,5002100,142.4918334299594,81.00261890006198
147,Nicaragua,North America,,4113547.0,6771338,,60.749396943410595
148,Niger,Africa,253043.0,1545630.0,25837472,0.9793643898288502,5.982125495868946
149,Nigeria,Africa,5114703.0,9565143.0,215651424,2.3717455257796027,4.4354647989711395
150,Niue,Australia/Oceania,,1417.0,1647,,86.03521554341226
151,Norway,Europe,11002430.0,4027038.0,5500191,200.03723507056392,73.21633012380843
152,Oman,Asia,25000000.0,3021149.0,5348410,467.428637669887,56.48686245070965
153,Pakistan,Asia,28350449.0,101881176.0,228878790,12.386665011642188,44.513157379065134
154,Palau,Australia/Oceania,49264.0,,18255,269.86579019446725,
155,Panama,North America,6019923.0,3017898.0,4441253,135.54559940629366,67.95149927284034
156,Papua New Guinea,Australia/Oceania,249149.0,257566.0,9262605,2.689837254206565,2.7807080189644275
157,Paraguay,South America,2633737.0,3316744.0,7295705,36.09982859778459,45.461596925862544
158,Peru,South America,30226868.0,25480351.0,33827210,89.35666878823291,75.32501498054377
159,Philippines,Asia,29827732.0,65804988.0,112297269,26.561404623294983,58.59892104767036
160,Poland,Europe,36224215.0,22343826.0,37769420,95.90884636301008,59.15850971500224
161,Portugal,Europe,41903714.0,9415073.0,10141346,413.1967689496049,92.83849500845352
162,Qatar,Asia,3487616.0,2593517.0,2807805,124.21147479971009,92.36813097775665
163,Reunion,Africa,1603660.0,,907212,176.76794398663156,
164,Romania,Europe,22954921.0,8083344.0,18998751,120.823316227472,42.54671267600696
165,Russia,Europe,273400000.0,72841232.0,146050996,187.1948891057203,49.87383447901992
166,Rwanda,Africa,5343203.0,8036044.0,13549956,39.4333605216135,59.306790368913376
167,Saint Barthelemy,North America,78646.0,,9933,791.7648243229639,
168,Saint Helena,Africa,,3531.0,6111,,57.78105056455571
169,Saint Kitts And Nevis,North America,70707.0,,53900,131.1818181818182,
170,Saint Lucia,North America,143281.0,52713.0,185190,77.36972838706193,28.464279928721854
171,Saint Martin,North America,112382.0,,39894,281.701508998847,
172,Saint Pierre And Miquelon,North America,23687.0,,5741,412.59362480404104,
173,Saint Vincent And The Grenadines,North America,99138.0,,111596,88.836517437901,
174,Samoa,Australia/Oceania,85921.0,131031.0,200869,42.77464417107667,65.23206667031747
175,San Marino,Europe,152231.0,23602.0,34064,446.89701737905125,69.28722404884923
176,Sao Tome And Principe,Africa,29036.0,,226737,12.8060263653484,
177,Saudi Arabia,Asia,42144668.0,24460457.0,35823522,117.64523879031212,68.28043596606722
178,Senegal,Africa,1081824.0,1039257.0,17565349,6.158852864238564,5.916517798763919
179,Serbia,Europe,9596815.0,3269374.0,8671838,110.6664469516151,37.70105022718367
180,Seychelles,Africa,,80089.0,99481,,80.50683045003568
181,Sierra Leone,Africa,259958.0,1114047.0,8279028,3.1399579757430462,13.456253560200546
182,Singapore,Asia,23767171.0,4964989.0,5936034,400.3880537072395,83.64151889965589
183,Sint Maarten,North America,62056.0,,43783,141.7353767443985,
184,Slovakia,Europe,7127129.0,2763187.0,5464567,130.42440508095152,50.56552513675832
185,Slovenia,Europe,2656926.0,1220153.0,2079470,127.76938354484557,58.676153058231186
186,Solomon Is.,Australia/Oceania,5117.0,122405.0,718243,0.7124329788107925,17.04228234733927
187,Somalia,Africa,400466.0,1290895.0,16718643,2.395325984291907,7.7212905377547685
188,South Africa,Africa,24841314.0,17833534.0,60701292,40.923863696344384,29.379167085932867
189,South Korea,Asia,15804065.0,44482876.0,51351355,30.776334918523574,86.62454184509835
190,S. Sudan,Africa,389677.0,482816.0,11438136,3.4068225801826455,4.221107355254388
191,Spain,Europe,471036328.0,40118474.0,46788503,1006.7351973197347,85.7442991924747
192,Sri Lanka,Asia,6486117.0,14387077.0,21580463,30.055504369855274,66.66713777178923
193,Palestine,Asia,3078533.0,1756319.0,5322203,57.84320891179837,32.999849874196826
194,Sudan,Africa,562941.0,2746556.0,45755378,1.2303275037963843,6.00269546456375
195,Suriname,South America,236268.0,237194.0,596421,39.61429929529645,39.76955875128475
196,Swaziland,Africa,1021394.0,,1182536,86.37318441045346,
197,Sweden,Europe,18553837.0,7614496.0,10216549,181.6057163725246,74.53099867675475
198,Switzerland,Europe,20927607.0,5993447.0,8772500,238.5592134511257,68.32085494442862
199,Syria,Asia,146269.0,1318742.0,18292142,0.799627512185287,7.209336118208573
200,Taiwan,Asia,16207475.0,18254357.0,23897056,67.82205724420615,76.38747216393517
201,Tajikistan,Asia,,4614268.0,9936493,,46.43759121050053
202,Tanzania,Africa,,3067877.0,62901456,,4.877275018880326
203,Thailand,Asia,17270775.0,50159803.0,70126166,24.62814664643152,71.52794151044847
204,Timor-Leste,Asia,264799.0,578949.0,1365204,19.39629535219645,42.40750832842564
205,Togo,Africa,735638.0,1557538.0,8639966,8.514362209295731,18.02713112528452
206,Tonga,Australia/Oceania,518262.0,70283.0,107926,480.20124900394717,65.12147211978578
207,Trinidad and Tobago,North America,726218.0,708762.0,1407928,51.58062059991704,50.34078447193322
208,Tunisia,Africa,4592916.0,6345597.0,12048936,38.118851324299506,52.66520628875446
209,Turkey,Asia,160622710.0,52968985.0,86029250,186.7070909022222,61.57090175725117
210,Turks And Caicos Islands,North America,505354.0,,39692,1273.1885518492393,
211,Uganda,Africa,2612795.0,8014082.0,48429823,5.395012490547405,16.54782426109631
212,United Kingdom,Europe,519264096.0,49404026.0,68550166,757.4950234256179,72.06988528663811
213,Ukraine,Europe,19521252.0,15221792.0,43244553,45.141527997757315,35.19932787835731
214,United Arab Emirates,Asia,159103283.0,9603499.0,10112950,1573.262826376082,94.96238980712849
215,Uruguay,South America,6114822.0,2842482.0,3496151,174.90154172402737,81.3031816989598
216,United States of America,North America,1016882505.0,217498967.0,334617623,303.89388815902265,64.99925647968637
217,Uzbekistan,Asia,1377915.0,13852504.0,34372515,4.008769797613006,40.301106858197606
218,Vanuatu,Australia/Oceania,24976.0,85180.0,320508,7.792629201143185,26.57655971145806
219,Venezuela,South America,3359014.0,14287370.0,28285909,11.875220273104887,50.51055633389756
220,Vietnam,Asia,85811485.0,77754108.0,98969721,86.70478620425736,78.56353156739726
221,Wallis And Futuna Islands,Australia/Oceania,20508.0,,10873,188.61399797663938,
222,W. Sahara,Africa,,,624681,,
223,Yemen,Asia,265253.0,404781.0,31049015,0.8543040737363166,1.3036838688763557
224,Zambia,Africa,3452554.0,2182849.0,19342381,17.849684586401228,11.285316942107592
225,Zimbabwe,Africa,2287793.0,3510256.0,15265849,14.986346321125016,22.994174775343318
