country,Unnamed: 0,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations,percentage_vaccinated,tested_positive,percentage_total_vaccinated
Afghanistan,0,Asia,179267,7690.0,162202.0,9375.0,1124.0,4420,190.0,951337.0,23455.0,40560636,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5082824.0,12.76,4420127.0,11.1,14.44,5751015.0,14.178808734655938,18.843690511354023,10.897578134622938
Albania,1,Europe,275574,3497.0,271826.0,251.0,2.0,95954,1218.0,1817530.0,632857.0,2871945,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1278902.0,44.52,1215199.0,42.3,95.87,2754244.0,95.90169728180727,15.16200557900007,42.31275320383921
Algeria,2,Africa,265816,6875.0,178371.0,80570.0,6.0,5865,152.0,230861.0,5093.0,45325517,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",7461932.0,16.72,6110712.0,13.7,30.72,13704895.0,30.236599397200475,115.14114553779113,13.481836291023445
Andorra,3,Europe,42156,153.0,41021.0,982.0,14.0,543983,1974.0,249838.0,3223924.0,77495,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",57817.0,74.74,53367.0,68.99,196.5,151997.0,196.13781534292536,16.873333920380407,68.86508807019808
Angola,4,Africa,99194,1900.0,97149.0,145.0,,2853,55.0,1499795.0,43136.0,34769277,Oxford/AstraZeneca,11235059.0,33.11,5993792.0,17.66,51.68,17535411.0,50.43363714465503,6.613837224420671,17.238759379437198
Anguilla,5,North America,2984,9.0,2916.0,59.0,4.0,195646,590.0,51382.0,3368870.0,15252,"Oxford/AstraZeneca, Pfizer/BioNTech",10572.0,69.9,9624.0,63.63,150.18,22714.0,148.9247311827957,5.807481219103967,63.099921321793865
Antigua And Barbuda,6,North America,7721,137.0,7511.0,73.0,1.0,77646,1378.0,18901.0,190076.0,99439,,,,,,,,,40.84969049256653,
Argentina,7,South America,9101319,128729.0,8895999.0,76591.0,372.0,197992,2800.0,35716069.0,776974.0,45968174,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",40907186.0,89.7,36924451.0,80.96,211.61,96504666.0,209.93800188800188,25.48242081176403,80.32612085048234
Armenia,8,Asia,422896,8623.0,412048.0,2225.0,,142219,2900.0,3068217.0,1031834.0,2973558,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",1113472.0,37.51,948778.0,31.97,70.38,2088962.0,70.25126128362051,13.783118990605944,31.907163068620154
Aruba,9,North America,35693,213.0,35199.0,281.0,,331689,1979.0,177885.0,1653053.0,107610,Pfizer/BioNTech,87884.0,81.99,81347.0,75.89,157.87,169231.0,157.26326549577178,20.065210669814768,75.59427562494191
Australia,10,Australia/Oceania,6593795,7794.0,6199822.0,386179.0,129.0,253112,299.0,70885598.0,2721042.0,26050899,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",22202366.0,86.1,21200432.0,82.21,218.1,56242913.0,215.89624603742084,9.30202352246503,81.38080762587118
Austria,11,Europe,4212492,18303.0,4135885.0,58304.0,58.0,462804,2011.0,185034905.0,20328801.0,9102106,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",6812569.0,75.33,6588761.0,72.86,200.5,18131115.0,199.19692211890302,2.2765931649490674,72.38721456331095
Azerbaijan,12,Asia,792638,9709.0,782869.0,60.0,,76885,942.0,6838458.0,663324.0,10309383,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",5322427.0,52.06,4821276.0,47.16,131.32,13425032.0,130.22148852167,11.59088788729857,46.765902479323934
Bahamas,13,North America,33871,801.0,32488.0,582.0,,84626,2001.0,233473.0,583330.0,400242,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",164961.0,41.56,156089.0,39.33,84.19,334155.0,83.4882396150329,14.507459106620466,38.99865581323299
Bahrain,14,Asia,576997,1479.0,569758.0,5760.0,4.0,318491,816.0,9775981.0,5396149.0,1811659,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",1232740.0,70.51,1216033.0,69.56,195.69,3421273.0,188.84751490208697,5.9021902763518055,67.12262075810072
Bangladesh,15,Asia,1953012,29127.0,1899419.0,24466.0,1273.0,11643,174.0,14051455.0,83767.0,167745162,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",127544055.0,76.69,107712737.0,64.77,146.5,243642749.0,145.2457681014967,13.89900191830668,64.21212732203865
Barbados,16,North America,76261,433.0,71497.0,4331.0,,264768,1503.0,669421.0,2324136.0,288030,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",161076.0,55.99,151069.0,52.51,108.49,312145.0,108.37239176474674,11.392083606579417,52.44905044613408
